,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,1.2534020000000001,121.69575
1,1.304274320602417,1.253287,121.69607
2,2.6032488346099854,1.253412,121.69596
3,3.9121029376983643,1.253287,121.69617
4,5.2118237018585205,1.253287,121.69617
5,6.519005298614502,1.253035,121.69628
6,7.826388597488403,1.253255,121.69617
7,9.131622791290283,1.252186,121.69638
8,10.432740926742554,1.2529620000000001,121.69638
9,11.735623598098755,1.252647,121.69648
10,13.04403829574585,1.252553,121.69617
11,14.348926544189453,1.252941,121.69596
12,15.655612468719482,1.252574,121.69617
13,16.954888105392456,1.252983,121.69628
14,18.259010076522827,1.252532,121.69586
15,19.56812834739685,1.252584,121.69628
16,20.867172956466675,1.252343,121.69607
17,22.1761417388916,1.252375,121.69607
18,23.48326539993286,1.251966,121.69575
19,24.787818908691406,1.252102,121.69638
20,26.0887188911438,1.252092,121.69617
21,27.39405059814453,1.252008,121.69628
22,28.69347834587097,1.252019,121.69617
23,30.00881862640381,1.2515049999999999,121.69586
24,31.308236360549927,1.251935,121.69565
25,32.61665368080139,1.251987,121.69565
26,33.92129993438721,1.2521550000000001,121.69586
27,35.22008204460144,1.251882,121.69565
28,36.529536485672,1.25139,121.69565
29,37.835227251052856,1.251484,121.69554
30,39.134204626083374,1.251065,121.69575
31,40.442187547683716,1.2512750000000001,121.69512
32,41.74725794792175,1.251233,121.69544
33,43.047194957733154,1.251149,121.69554
34,44.35596990585327,1.250709,121.69544
35,45.66350817680359,1.250918,121.69575
36,46.96918177604675,1.250887,121.69565
37,48.274633169174194,1.251044,121.69565
38,49.58046865463257,1.250709,121.69596
39,50.88223052024841,1.250625,121.69596
40,52.188605546951294,1.250709,121.69628
41,53.48716735839844,1.250426,121.69575
42,54.79623985290527,1.250394,121.69638
43,56.10474467277527,1.250688,121.6968
44,57.409226417541504,1.250541,121.69638
45,58.71414589881897,1.250583,121.69628
