,Tiempo [s],Resistencia [Ohm]
0,0.0,109.30724
1,0.4332540035247803,109.30712
2,0.8679327964782715,109.30649
3,1.3009254932403564,109.30643
4,1.7336773872375488,109.30648
5,2.1695425510406494,109.30617
6,2.614304304122925,109.30579
7,3.0499916076660156,109.30522
8,3.481722593307495,109.30438
9,3.915238618850708,109.30271
10,4.357891082763672,109.3016
11,4.791673183441162,109.30064
12,5.230530023574829,109.29969
13,5.6631975173950195,109.2988
14,6.097812652587891,109.29765
15,6.5394556522369385,109.29664
16,6.975462913513184,109.29554
17,7.411811113357544,109.29463
18,7.845403671264648,109.29343
19,8.278393983840942,109.29177
20,8.710479259490967,109.29093
21,9.149388551712036,109.2895
22,9.592376708984375,109.28759
